,Unnamed: 0,trial,sentence,condition,interference,transition,violation,trigger_number,filler,quantity,tokens,token_scores,sentence_score
11043,11043,11043,The builder that detests the gentle lovely woman lie.,full,constructive,rough,yes,singular,no,,"['The', 'Ġbuilder', 'Ġthat', 'Ġdet', 'ests', 'Ġthe', 'Ġgentle', 'Ġlovely', 'Ġwoman', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 1.896800495160278e-05, 0.0048370445147156715, 3.560681943781674e-05, 0.04926206171512604, 0.15420439839363098, 2.0743304048664868e-05, 1.0170828318223357e-05, 0.013724584132432938, 4.5582987695524935e-06, 0.0034464250784367323, 0.004849237855523825]",0.0041417347965762
2530,2530,2530,The plumber that loves the helpful proud lawyer prays.,full,constructive,smooth,no,singular,no,,"['The', 'Ġpl', 'umber', 'Ġthat', 'Ġloves', 'Ġthe', 'Ġhelpful', 'Ġproud', 'Ġlawyer', 'Ġpr', 'ays', '.', '<|endoftext|>']","[0.037699710577726364, 5.06484393554274e-05, 0.06936445087194443, 0.0031562538351863623, 0.0010230920743197203, 0.07030616700649261, 5.2406489885470364e-06, 3.2061956289908267e-07, 5.804480315418914e-05, 3.991731864516623e-05, 0.24573642015457153, 0.033984486013650894, 0.0077545600943267345]",0.0031562538351863
15363,15363,15363,The chefs that love the helpful nice plumbers lies.,full,constructive,rough,yes,plural,no,,"['The', 'Ġchefs', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġhelpful', 'Ġnice', 'Ġpl', 'umbers', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 6.014487553329673e-06, 0.009196200408041477, 0.0058712949976325035, 0.042141057550907135, 3.2211412417382235e-06, 2.3683633116888814e-05, 0.00027656578458845615, 0.002218568231910467, 3.2526772884011734e-06, 0.018327239900827408, 0.0061033181846141815]",0.0040449316147714
12433,12433,12433,The barbers that detest the lovely careless painters sing.,full,constructive,smooth,no,plural,no,,"['The', 'Ġbar', 'bers', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġlovely', 'Ġcareless', 'Ġpain', 'ters', 'Ġsing', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015501985035371035, 0.021894624456763268, 6.222881347639486e-05, 1.2264243196113966e-05, 0.5078377723693848, 0.13860704004764557, 7.242499850690365e-05, 1.8700370674196165e-06, 0.0001885482488432899, 0.6236963272094727, 1.1497569175844546e-05, 0.026273800060153008, 0.0076158372685313225]",0.0039021927586873
7949,7949,7949,The farmer that likes the man the least run.,interpolation,constructive,absent,yes,singular,no,subtractive,"['The', 'Ġfarmer', 'Ġthat', 'Ġlikes', 'Ġthe', 'Ġman', 'Ġthe', 'Ġleast', 'Ġrun', '.', '<|endoftext|>']","[0.037699710577726364, 3.362503775861114e-05, 0.005959069821983576, 0.00024095273693092167, 0.05201701447367668, 0.0007987264543771744, 0.002077721990644932, 0.0032597749959677458, 1.4730430848430842e-05, 0.02153964526951313, 0.00965902954339981]",0.0032597749959677
4740,4740,4740,The judge who dislikes the pilot very much runs.,interpolation,constructive,absent,no,singular,no,additive,"['The', 'Ġjudge', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġpilot', 'Ġvery', 'Ġmuch', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 0.0002764117962215096, 0.09193785488605499, 2.2851595531392377e-06, 0.8160143494606018, 0.13734804093837738, 0.00024277031479869038, 4.200857802061364e-05, 0.9046593308448792, 7.197770901257172e-05, 0.0018062170129269361, 0.005883985664695501]",0.0038451013388112
13572,13572,13572,The athletes who like the actors very little sings.,interpolation,constructive,absent,yes,plural,no,subtractive,"['The', 'Ġathletes', 'Ġwho', 'Ġlike', 'Ġthe', 'Ġactors', 'Ġvery', 'Ġlittle', 'Ġsings', '.', '<|endoftext|>']","[0.037699710577726364, 1.3565753761213273e-05, 0.09707609564065933, 0.00031984434463083744, 0.044888876378536224, 6.432695954572409e-06, 0.00025562546215951443, 0.003919788636267185, 4.48925305818193e-07, 0.0792662650346756, 0.004746673163026571]",0.0039197886362671
11147,11147,11147,The farmers who hate the bakers the most swim.,interpolation,constructive,absent,no,plural,no,additive,"['The', 'Ġfarmers', 'Ġwho', 'Ġhate', 'Ġthe', 'Ġb', 'akers', 'Ġthe', 'Ġmost', 'Ġswim', '.', '<|endoftext|>']","[0.037699710577726364, 2.8837483114330098e-05, 0.11025957763195038, 0.00011912747140740976, 0.18731474876403809, 0.0006629914278164506, 0.010751694440841675, 0.0010370885720476508, 0.6657981276512146, 3.5730332115235797e-07, 0.003079002257436514, 0.004340068437159061]",0.0037095353472977
6395,6395,6395,The pilot who detests the funny friendly bakers lie.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġpilot', 'Ġwho', 'Ġdet', 'ests', 'Ġthe', 'Ġfunny', 'Ġfriendly', 'Ġb', 'akers', 'Ġlie', '.', '<|endoftext|>']","[0.037699710577726364, 0.00018929631914943457, 0.0036530038341879845, 1.5400537449750118e-05, 0.005445119459182024, 0.16111484169960022, 9.538803169562016e-06, 2.65966400547768e-06, 0.000556012149900198, 0.006143120117485523, 2.5072222342714667e-05, 0.030673157423734665, 0.00650071632117033]",0.0036530038341879
293,293,293,The teacher who hates the charming lovely barbers lies.,full,destructive,rough,no,singular,no,,"['The', 'Ġteacher', 'Ġwho', 'Ġhates', 'Ġthe', 'Ġcharming', 'Ġlovely', 'Ġbar', 'bers', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 7.631941116414964e-05, 0.1632567197084427, 2.3171745851868764e-05, 0.08005879819393158, 2.2012577574059833e-06, 2.8802522137993947e-05, 0.00011625873594311997, 0.036143191158771515, 8.949018024395627e-07, 0.07612849771976471, 0.007592515088617802]",0.0038543869122804
3252,3252,3252,The bankers that detest the charming kind judge lies.,full,destructive,smooth,yes,plural,no,,"['The', 'Ġbankers', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġcharming', 'Ġkind', 'Ġjudge', 'Ġlies', '.', '<|endoftext|>']","[0.037699710577726364, 8.146033906086814e-06, 0.010504795238375664, 1.6512158254045062e-05, 0.635408341884613, 0.2178690880537033, 5.889722274332598e-07, 0.0001738008577376604, 7.295959676412167e-06, 7.9997320426628e-05, 0.09401474893093109, 0.008012261241674423]",0.004093031049706
8432,8432,8432,The actors that detest the lovely kind man pray.,full,destructive,rough,no,plural,no,,"['The', 'Ġactors', 'Ġthat', 'Ġdet', 'est', 'Ġthe', 'Ġlovely', 'Ġkind', 'Ġman', 'Ġpray', '.', '<|endoftext|>']","[0.037699710577726364, 2.6195199097855948e-05, 0.006921032443642616, 4.7492198973486666e-06, 0.41180115938186646, 0.13529141247272491, 7.931813343020622e-06, 0.0002589407959021628, 0.0005634704139083624, 1.643937866901979e-05, 0.018314242362976074, 0.008468834683299065]",0.0037422514287754
687,687,687,The woman who likes the barbers very much swim.,interpolation,destructive,absent,yes,singular,no,additive,"['The', 'Ġwoman', 'Ġwho', 'Ġlikes', 'Ġthe', 'Ġbar', 'bers', 'Ġvery', 'Ġmuch', 'Ġswim', '.', '<|endoftext|>']","[0.037699710577726364, 0.0005347932456061244, 0.26382583379745483, 4.171506952843629e-05, 0.01688152737915516, 0.0004804070631507784, 0.05181026831269264, 1.1403395546949469e-05, 0.9706244468688965, 4.676338903664146e-06, 0.0017693433910608292, 0.00661180866882205]",0.0041905760299414
5495,5495,5495,The lawyer that dislikes the builders the most runs.,interpolation,destructive,absent,no,singular,no,additive,"['The', 'Ġlawyer', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġbuilders', 'Ġthe', 'Ġmost', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 9.883702296065167e-05, 0.004011549986898899, 9.914355132423225e-07, 0.8135154247283936, 0.1216529905796051, 7.577833457617089e-06, 0.0012523331679403782, 0.18245702981948853, 0.0001229887129738927, 0.0017990379128605127, 0.0071383328177034855]",0.0029052939498797
8135,8135,8135,The bakers that like the judge very little runs.,interpolation,destructive,absent,yes,plural,no,subtractive,"['The', 'Ġb', 'akers', 'Ġthat', 'Ġlike', 'Ġthe', 'Ġjudge', 'Ġvery', 'Ġlittle', 'Ġruns', '.', '<|endoftext|>']","[0.037699710577726364, 0.00015020568389445543, 0.006068031303584576, 0.002866247436031699, 0.0007751628290861845, 0.03921136632561684, 9.727978067530785e-06, 0.00017861879314295948, 0.006076972931623459, 3.9455408114008605e-06, 0.02278931252658367, 0.0035621803253889084]",0.0032142138807103
