,sentence,unviolated_sentence,condition,interference,transition,violation,trigger_number,filler,quantity,tokens,token_scores,sentence_score
10546,The baker who likes the clever happy plumber swim.,The baker who likes the clever happy plumber swims.,full,constructive,rough,yes,singular,no,,"['The', 'Ġbaker', 'Ġwho', 'Ġlikes', 'Ġthe', 'Ġclever', 'Ġhappy', 'Ġpl', 'umber', 'Ġswim', 's', '.', '<|endoftext|>']",[ -3.27810286 -12.60720063  -2.6211243   -8.96228786  -3.30984115  -9.56878668 -11.03765871 -10.69408417  -5.22447211 -13.19123839  -1.04636     -5.45543668  -5.0597763 ],-5.455436684265879
5688,The builder who dislikes the proud gentle farmer cheats.,The builder who dislikes the proud gentle farmer cheats.,full,constructive,smooth,no,singular,no,,"['The', 'Ġbuilder', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġproud', 'Ġgentle', 'Ġfarmer', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286 -10.87275695  -3.27718352 -10.64034274  -0.88012697  -1.70372004 -12.23786931 -12.59255221  -7.0959778  -10.96327208  -1.53760528  -3.57641604  -4.52416227],-4.524162271087059
10932,The chefs who love the proud cool bakers cooks.,The chefs who love the proud cool bakers cook.,full,constructive,rough,yes,plural,no,,"['The', 'Ġchefs', 'Ġwho', 'Ġlove', 'Ġthe', 'Ġproud', 'Ġcool', 'Ġb', 'akers', 'Ġcook', '.', '<|endoftext|>']",[ -3.27810286 -12.02133941  -2.61444095  -5.29475399  -2.96213532 -12.70106504 -11.0814056   -7.76397704  -3.35955814  -8.66281892  -4.81727603  -3.96710201],-5.056015005994535
2360,The painters that love the careless proud judges smoke.,The painters that love the careless proud judges smoke.,full,constructive,smooth,no,plural,no,,"['The', 'Ġpain', 'ters', 'Ġthat', 'Ġlove', 'Ġthe', 'Ġcareless', 'Ġproud', 'Ġjudges', 'Ġsmoke', '.', '<|endoftext|>']",[ -3.27810286  -9.73519131  -5.15680308  -4.5746765   -4.43297578  -2.90464022 -13.22071838 -12.66091156 -10.7684021  -12.6003952  -3.40100099  -4.67207339],-4.914438235034942
2814,The waiter who dislikes the painter the least pray.,The waiter who dislikes the painter the least prays.,interpolation,constructive,absent,yes,singular,no,subtractive,"['The', 'Ġwaiter', 'Ġwho', 'Ġdisl', 'ikes', 'Ġthe', 'Ġpainter', 'Ġthe', 'Ġleast', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286 -11.63503266  -2.79667666 -11.14999388  -0.70892333  -2.09733582 -12.00109101  -6.71126559  -4.15901947 -10.25411989  -2.60830688  -2.74022679  -4.70076749],-4.159019468086892
1818,The actor that dislikes the lawyer the most prays.,The actor that dislikes the lawyer the most prays.,interpolation,constructive,absent,no,singular,no,additive,"['The', 'Ġactor', 'Ġthat', 'Ġdisl', 'ikes', 'Ġthe', 'Ġlawyer', 'Ġthe', 'Ġmost', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286  -8.32245635  -6.3192139  -10.88845066  -0.07621004  -2.31326291 -10.86978145  -6.39673617  -2.49472804 -10.89202114  -1.04863739  -3.64765166  -4.70798496],-4.707984957963939
798,The teachers that avoid the waiters the most prays.,The teachers that avoid the waiters the most pray.,interpolation,constructive,absent,yes,plural,no,additive,"['The', 'Ġteachers', 'Ġthat', 'Ġavoid', 'Ġthe', 'Ġwait', 'ers', 'Ġthe', 'Ġmost', 'Ġpray', '.', '<|endoftext|>']",[ -3.27810286 -10.52736661  -5.47636409 -10.04113006  -2.26205442 -10.09465031  -5.44737249  -6.95201874  -2.00659944 -11.32824704  -2.71792603  -4.76301577],-5.461868287971377
3527,The waiters who avoid the men the most sing.,The waiters who avoid the men the most sing.,interpolation,constructive,absent,no,plural,no,additive,"['The', 'Ġwait', 'ers', 'Ġwho', 'Ġavoid', 'Ġthe', 'Ġmen', 'Ġthe', 'Ġmost', 'Ġsing', '.', '<|endoftext|>']",[ -3.27810286  -9.34761807  -4.41248704  -3.44232939  -9.01424405  -1.74473569  -7.6639404   -7.10507201  -4.16248324 -11.66270446  -3.45308683  -4.20235443],-4.3074207368226745
7458,The painter who loves the helpful friendly judges pray.,The painter who loves the helpful friendly judges prays.,full,destructive,smooth,yes,singular,no,,"['The', 'Ġpainter', 'Ġwho', 'Ġloves', 'Ġthe', 'Ġhelpful', 'Ġfriendly', 'Ġjudges', 'Ġpr', 'ays', '.', '<|endoftext|>']",[ -3.27810286 -11.47234344  -2.66542819  -7.53691862  -2.48944097 -13.11750791  -9.75234219  -9.84445188 -10.27209475  -2.96448903  -3.83525848  -4.41459655],-5.975757585579437
9056,The farmer who fears the clever lazy tailors cheats.,The farmer who fears the clever lazy tailors cheats.,full,destructive,rough,no,singular,no,,"['The', 'Ġfarmer', 'Ġwho', 'Ġfears', 'Ġthe', 'Ġclever', 'Ġlazy', 'Ġtail', 'ors', 'Ġche', 'ats', '.', '<|endoftext|>']",[ -3.27810286 -10.3002396   -1.79431913  -9.08536527  -2.16989901 -13.19473269 -11.54025265  -8.59500885  -2.21577453 -11.28938293  -1.23300935  -5.95274356  -4.04245762],-5.952743556904223
